"Year","Ndays","Ndets","ID","CamNum_Redux"
2016,32,1,520,382
2018,98,0,520,382
2015,81,0,571,383
2016,32,2,571,383
2016,90,2,571,384
2017,104,2,571,384
2018,68,0,571,384
2015,82,2,473,385
2016,120,3,473,385
2017,121,0,473,385
2018,60,1,473,385
2018,92,1,3935,386
2016,90,0,520,387
2017,121,3,520,387
2018,39,1,520,387
2015,82,3,520,388
2016,32,0,520,388
2018,121,5,34,389
2015,82,1,520,390
2016,121,3,520,390
2017,121,2,520,390
2018,80,1,520,390
2018,121,4,84,391
2015,82,4,571,392
2016,59,4,571,392
2017,121,4,571,392
2017,1,0,1750,393
2015,82,21,520,394
2017,121,6,520,394
2018,121,9,520,394
2015,82,1,520,395
2016,1,0,520,395
2017,121,1,520,395
2018,121,1,520,395
2015,82,3,520,396
2017,102,1,520,396
2015,82,0,520,397
2016,94,2,520,397
2015,82,2,520,398
2016,59,1,520,398
2015,82,0,473,399
2016,74,1,473,399
2017,58,0,473,399
2015,11,3,571,400
2016,1,0,571,400
2017,121,4,571,400
2018,77,2,571,400
2015,82,1,520,401
2015,81,5,571,402
2016,91,1,571,402
2017,121,4,571,402
2018,77,2,571,402
2017,85,0,4598,403
2018,83,0,4599,404
2017,3,0,3653,405
2018,76,0,187,406
2015,24,0,572,407
2017,121,6,572,408
2018,121,5,572,408
2017,121,1,1199,409
2018,95,4,1199,409
2015,81,7,572,410
2016,121,0,572,410
2015,55,0,474,411
2016,121,0,474,411
2017,121,0,474,411
2018,121,0,474,411
2017,74,16,1199,412
2018,8,4,1199,412
2017,69,5,1120,413
2018,121,3,110,414
2015,19,3,572,415
2017,81,6,572,415
2018,121,17,572,415
2015,82,1,521,416
2016,1,0,521,416
2017,67,1,521,416
2017,121,8,1199,417
2018,95,6,1199,417
2017,74,7,1120,418
2018,92,5,1120,418
2015,81,2,521,419
2016,121,0,521,419
2017,68,1,521,419
2018,121,0,521,419
2015,82,1,521,420
2016,121,1,521,420
2017,102,0,521,420
2015,82,1,521,421
2016,85,6,521,421
2017,121,0,521,421
2018,77,0,521,421
2017,121,2,572,422
2018,77,2,572,422
2016,14,0,521,423
2015,1,0,521,424
2015,82,2,572,425
2016,1,0,572,425
2017,121,0,572,425
2017,121,12,1120,426
2015,80,1,474,427
2016,92,2,474,428
2017,121,0,474,428
2018,42,0,474,428
2015,81,6,474,429
2016,121,21,474,429
2017,121,2,474,429
2018,121,1,474,429
2016,115,1,521,430
2015,81,2,474,431
2016,74,0,474,431
2017,121,2,474,431
2018,57,0,474,431
2018,63,0,474,432
2018,121,3,24,433
2015,82,5,521,434
2016,109,3,521,434
2017,48,0,572,435
2018,121,3,572,435
2016,60,6,521,436
2017,121,4,521,436
2018,121,1,521,436
2018,121,1,1516,437
2017,8,0,5808,438
2018,50,0,5808,438
2015,82,4,521,439
2015,81,0,572,440
2017,104,1,572,441
2018,121,1,572,441
2015,81,1,572,442
2016,31,1,572,442
2015,81,1,521,443
2016,120,2,521,443
2017,120,0,521,443
2018,49,1,521,443
2015,75,1,521,444
2016,14,0,521,444
2015,81,3,572,445
2016,121,6,572,446
2018,121,6,572,446
2015,81,1,572,447
2016,121,0,572,447
2017,3,0,572,447
2018,49,0,572,447
2015,82,0,521,448
2016,1,0,521,448
2015,1,0,521,449
2015,31,0,474,450
2016,113,0,474,450
2017,77,1,474,450
2018,22,0,474,450
2015,81,1,474,451
2016,23,1,474,451
2017,10,0,474,451
2018,121,0,286,452
2015,25,0,572,453
2017,121,4,1199,454
2018,39,0,3354,455
2016,92,1,521,456
2017,97,6,1199,457
2017,121,0,3354,458
2017,96,74,1199,459
2015,4,0,521,460
2017,98,0,821,461
2018,43,0,3936,462
2017,79,0,3653,463
2018,121,0,3653,463
2016,30,0,521,464
2017,121,8,1120,465
2015,81,3,572,466
2016,31,0,572,466
2016,1,0,572,467
2017,121,0,572,467
2018,121,1,572,467
2015,82,2,572,468
2017,3,0,1120,469
2018,79,0,1120,469
2018,108,13,1042,470
2017,121,19,1042,471
2017,121,5,1120,472
2017,117,10,1120,473
2018,49,2,1120,474
2015,46,2,521,475
2016,59,0,521,476
2017,121,2,521,476
2015,76,4,521,477
2017,121,11,1042,478
2018,121,7,1042,478
2015,82,0,521,479
2016,121,1,521,479
2017,38,1,521,479
2015,82,2,474,480
2016,64,3,474,480
2017,121,6,474,480
2018,87,3,474,480
2016,92,4,521,481
2017,37,2,521,482
2018,121,8,521,482
2017,121,8,1120,483
2018,79,8,1120,483
2017,121,0,3936,484
2018,3,0,3936,484
2018,59,0,3936,485
2016,92,1,521,486
2017,84,1,521,487
2015,82,1,521,488
2016,92,2,521,489
2017,121,1,521,489
2018,93,2,521,489
2015,82,0,474,490
2018,121,1,2776,491
2015,82,4,521,492
2016,121,3,521,492
2017,79,0,521,492
2018,60,0,521,492
2017,102,1,1199,493
2018,103,3,1199,493
2015,82,1,572,494
2016,121,0,572,494
2017,121,0,572,494
2018,90,0,572,494
2016,57,0,572,495
2018,90,0,572,495
2017,76,4,1120,496
2018,121,1,2258,497
2015,82,7,572,498
2015,81,3,474,499
2016,30,0,474,499
2017,121,4,474,499
2018,113,2,474,499
2017,44,0,3581,500
2018,121,1,3581,500
2016,34,2,572,501
2017,86,0,572,501
2018,113,2,572,501
2017,74,1,1199,502
2018,101,4,1199,502
2017,71,10,1120,503
2018,103,26,1120,503
2016,113,0,474,504
2017,121,0,474,504
2018,104,9,35,505
2017,121,13,320,506
2018,121,4,320,506
2018,111,0,3653,507
2015,82,2,572,508
2016,121,2,572,508
2017,99,3,572,508
2018,90,2,572,508
2017,121,5,1042,509
2018,121,1,1042,509
2018,121,0,4938,510
2016,31,0,626,511
2018,103,0,1120,512
2016,91,1,626,513
2017,121,1,626,513
2018,121,2,626,513
2018,88,0,3653,514
2018,30,1,35,515
2015,82,2,572,516
2016,121,2,572,516
2017,20,0,572,516
2018,45,0,572,516
2017,7,0,3724,517
2017,121,3,3866,518
2017,81,11,1199,519
2015,81,3,521,520
2016,9,0,521,520
2017,106,3,521,520
2018,121,4,521,520
2016,121,2,521,521
2018,53,0,521,521
2015,81,2,475,522
2016,80,3,475,522
2017,121,2,475,522
2018,102,1,475,522
2015,82,3,573,523
2016,114,4,573,523
2017,50,0,573,523
2018,90,0,573,523
2015,75,1,522,524
2017,106,0,522,524
2018,50,3,522,524
2015,82,0,573,525
2016,91,2,573,526
2017,121,3,573,526
2018,93,1,573,526
2015,74,4,475,527
2016,86,3,475,527
2015,81,4,573,528
2017,94,4,1200,529
2018,34,2,36,530
2018,45,0,5101,531
2018,121,6,1200,532
2017,7,0,5372,533
2018,73,0,5372,533
2017,112,6,1121,534
2018,121,0,5317,535
2018,121,9,25,536
2018,96,9,3654,537
2017,98,0,4939,538
2018,90,0,51,539
2017,44,5,1200,540
2018,39,2,287,541
2017,121,3,1200,542
2018,79,0,287,543
2018,48,0,4883,544
2017,108,0,4883,545
2018,74,0,4883,545
2017,121,2,1043,546
2018,121,2,1200,547
2017,121,1,1200,548
2017,62,0,3796,549
2018,17,0,3796,549
2017,121,8,1121,550
2018,119,0,4252,551
2018,97,1,1121,552
2017,51,1,1121,553
2018,113,5,1121,553
2017,5,0,1121,554
2018,95,1,1121,554
2017,88,5,1043,555
2018,77,1,1043,555
2017,73,3,1043,556
2018,121,12,1043,556
2018,40,0,287,557
2018,82,2,287,558
2017,121,1,1043,559
2018,121,3,1043,559
2018,121,3,3867,560
2017,121,3,1200,561
2018,121,1,1200,561
2017,82,2,1200,562
2017,121,5,1121,563
2018,38,0,1121,564
2017,121,0,1200,565
2018,121,1,1200,565
2017,83,0,1043,566
2018,121,11,1043,566
2017,121,3,1043,567
2018,121,6,1043,567
2017,70,5,1121,568
2018,113,3,1121,568
2017,121,14,1121,569
2018,121,9,1121,569
2018,64,0,3582,570
2018,10,2,1121,571
2018,121,1,3725,572
2018,32,1,3796,573
2017,121,16,1200,574
2018,5,1,1200,574
2018,121,1,3796,575
2017,70,0,4771,576
2018,7,0,4771,576
2018,40,0,321,577
2017,121,6,1200,578
